职位名称,名称,地点,分类,时间,工作内容
WXG07-广研-QQ邮箱web前端开发工程师,WXG ," 广州,中国 ", 技术 ,2021/10/5,"1. 负责「QQ 邮箱」各类前端项目(Web&Webview、小程序、微信插件、浏览器插件等)的开发工作，也可承担部门下新产品的研发工作；
2. 支持前端工程化建设、前端项目性能优化等；
2. 不断打磨邮箱下各个子业务的产品功能，提供更优质的服务给到用户；"
WXG02-微信视频号后台开发工程师（广州/深圳）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"1. 视频号直播基础功能、玩法体验等系统的搭建与优化；
2. 视频号基础功能、运营体系、用户增长体系开发与优化；
3. 视频号 feed 流基础体验优化与性能优化。"
26699-智慧零售研发中心高级前端研发工程师（深圳）,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"负责智慧零售（ToB）相关小程序、管理后台、Node层开发工作，包括业务开发、框架组件开发以及性能优化等，与团队共同打造精益求精的产品；
积极关注研究前端新技术，推动团队持续提升技术能力，软件质量和研发效率。"
26699-智慧零售数据中台技术副总监,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"1． 负责智慧零售数据中台技术体系的构建，包括数据接入存储平台、数据处理分析平台、数据营销和经营分析平台、商品库及商品管理平台、商品推荐搜索平台的建设。
2． 负责智慧零售数据中心技术团队的管理，带领团队支撑腾讯有数和商品中台产品服务能力的建设，以及负责零售数据中台前沿技术方向的规划与落地。"
22989-视频编解码算法工程师（深圳）,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"1、参与视频编解码内核的实现和优化，包括H.264,H.265, AV1等；
2、研究编解码快速算法，实现新工具和特性，优化工程实现，提高编解码器画质和速度;
3、结合腾讯会议视频方案，实现视频编码器特性，如SVC、ROI等;
4. （可选）参与编解码相关研究及AI结合研究，如 高清低码、感知编码、ROI、视频编码损伤恢复等;
5、（可选）参与视频编解码算法的汇编优化，包括x86平台及客户端ARM平台指令集优化。"
22989-视频编解码算法工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/5,"1、参与视频编解码内核的实现和优化，包括H.264,H.265, AV1等；
2、研究编解码快速算法，实现新工具和特性，优化工程实现，提高编解码器画质和速度。
3、结合腾讯会议视频方案，实现视频编码器特性，如SVC、ROI等。
4. （可选）参与编解码相关研究及AI结合研究，如 高清低码、感知编码、ROI、视频编码损伤恢复等。
5、（可选）参与视频编解码算法的汇编优化，包括x86平台及客户端ARM平台指令集优化；"
22989-腾讯会议视频研发高级工程师（视频核心质量优化）,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 负责腾讯会议核心质量及体验优化，包括 性能、画质、弱网性能、成本、延时、音画同步、首屏速度等;
2. 结合采集、编解码、传输、前后处理、AI 等技术，深入系统探寻优化方案，跟进并落地方案，提升视频核心体验。"
40931-三维重建SLAM算法高级工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/5,"负责多传感器融合的SLAM算法开发；
负责数字孪生场景自动生成算法；
负责数字孪生采集车定位算法开发。"
40836-Data Scientist(数据科学家),PCG ," 北京,中国 ", 技术 ,2021/10/5,"1.利用海量结构/非结构化数据挖掘用户行为，通过数据科学的方法积极寻找提升用户体验的增长点；
2.与工程师及其他数据科学家一起设计构建创新的实验平台，以提升研发效能，推动数据驱动文化；
3.研究，测试并落地新的实验方法。部署统计、机器学习模型帮助决策；
4.能把复杂的概念及数据洞察通过清晰有效的方式在跨团队合作中沟通。"
WXG10-企业微信后台开发工程师（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,负责企业微信应用类后台系统开发/维护/运营工作
