价格,名称,评论数,店铺名
￥6488.00,Apple 苹果 iPhone 13 全网通5G手机 午夜黑 128G【碎屏险套餐】,22条评价,顺为手机专营店
￥6799.00,Apple iPhone 13 (A2634) 256GB 蓝色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥5599.00,Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机 【限时抢购】加9元得20W快速充电头！加799元得AirPods！更多优惠！,200万+条评价,Apple产品京东自营旗舰店
￥6799.00,Apple iPhone 13 (A2634) 256GB 午夜色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥6799.00,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 蓝色 256GB 【购机送多重好礼】赠防摔保护壳+防爆钢化膜+快充头+快充线+无线充+30元晒单红包【至高还可赢苹果手表SE】点击查看更多,1000+条评价,中国移动手机官方旗舰店
￥5599.00,Apple iPhone 12 (A2404) 128GB 黑色 支持移动联通电信5G 双卡双待手机 【限时抢购】加9元得20W快速充电头！加799元得AirPods！更多优惠！,200万+条评价,Apple产品京东自营旗舰店
￥9788.00,Apple 苹果 iPhone 13Pro 全网通5G手机 远峰蓝 256G【碎屏险套餐】,58条评价条评价,顺为手机专营店
￥5599.00,Apple iPhone 12 (A2404) 128GB 绿色 支持移动联通电信5G 双卡双待手机 【限时抢购】加9元得20W快速充电头！加799元得AirPods！更多优惠！,200万+条评价,Apple产品京东自营旗舰店
￥5599.00,Apple iPhone 12 (A2404) 128GB 紫色 支持移动联通电信5G 双卡双待手机 【限时抢购】加9元得20W快速充电头！加799元得AirPods！更多优惠！,200万+条评价,Apple产品京东自营旗舰店
￥6799.00,Apple iPhone 13 (A2634) 256GB 星光色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥4599.00,京品手机Apple iPhone 11 (A2223) 128GB 白色 移动联通电信4G手机 双卡双待,500万+条评价,Apple产品京东自营旗舰店
￥6799.00,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 午夜色 256GB 【购机送多重好礼】赠防摔保护壳+防爆钢化膜+快充头+快充线+无线充+30元晒单红包【至高还可赢苹果手表SE】点击查看更多,1000+条评价,中国移动手机官方旗舰店
￥11299.00,Apple 苹果 iPhone 13 pro max全网通5G手机 远峰蓝色 256GB【碎屏险套餐】,15条评价条评价,顺为手机专营店
￥5999.00,Apple iPhone 13 (A2634) 128GB 红色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥6799.00,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 红色 256GB 【购机送多重好礼】赠防摔保护壳+防爆钢化膜+快充头+快充线+无线充+30元晒单红包【至高还可赢苹果手表SE】点击查看更多,1000+条评价,中国移动手机官方旗舰店
￥6799.00,Apple iPhone 13 (A2634) 256GB 红色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥5999.00,Apple iPhone 13 (A2634) 128GB 蓝色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥4599.00,京品手机Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,500万+条评价,Apple产品京东自营旗舰店
￥8888.00,Apple iPhone 13 Pro (A2639) 苹果13手机 支持移动联通电信5G 128GB 远峰蓝色 官方标配【晒单30元红包】,43条评价,茄子手机旗舰店
￥6799.00,Apple iPhone 13 (A2634) 256GB 午夜色 支持移动联通电信5G 双卡双待手机【赠卡首月免月租】,2000+条评价,中国移动终端京东自营旗舰店
￥8399.00,Apple iPhone 13 (A2634) 512GB 星光色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥6799.00,Apple iPhone 13 (A2634) 256GB 蓝色 支持移动联通电信5G 双卡双待手机【赠卡首月免月租】,2000+条评价,中国移动终端京东自营旗舰店
￥8399.00,Apple iPhone 13 (A2634) 512GB 粉色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥8399.00,Apple iPhone 13 (A2634) 512GB 红色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥6488.00,Apple 苹果 iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 128GB 蓝色 官方标配【碎屏险+晒单20元红包】,49条评价,茄子手机旗舰店
￥11699.00,Apple 苹果 iPhone 13 Pro Max（A2644）全网通5G手机 256G 远峰蓝色（享一年延保） 套装二：搭配 20W原装闪充,500+条评价,京东之家官方旗舰店
￥5999.00,Apple iPhone 13 mini (A2629) 256GB 蓝色 手机 支持移动联通电信5G 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,1万+条评价,Apple产品京东自营旗舰店
￥5599.00,Apple iPhone 12 (A2404) 128GB 蓝色 支持移动联通电信5G 双卡双待手机 【限时抢购】加9元得20W快速充电头！加799元得AirPods！更多优惠！,200万+条评价,Apple产品京东自营旗舰店
￥5999.00,Apple iPhone 13 (A2634) 128GB 午夜色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥39.90￥36.80,亿色(ESR)【贴坏包赔】苹果13/13Pro钢化膜 iphone13/13Pro手机膜高清全屏覆盖保护膜防爆防指纹贴膜-2片装,2万+条评价,亿色(ESR)京东自营旗舰店
￥4748.00,Apple 苹果iPhone 12【苹果13敬请期待】 5G 手机 蓝色 全网通 64GB,2万+条评价,茄子手机旗舰店
￥8399.00,Apple iPhone 13 (A2634) 512GB 午夜色 支持移动联通电信5G 双卡双待手机 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,10万+条评价,Apple产品京东自营旗舰店
￥9788.00,Apple 苹果 iPhone 13Pro 全网通5G手机 远峰蓝 256G【碎屏险套餐】 【苹果新品，现货发售】下单即送20WPD快充套装+精品壳膜套装+品质无线充+晒单红包,58条评价,顺为手机专营店
￥6569.00,Apple iPhone 13 (A2634) 全网通5G 手机 双卡双待 A15芯片 蓝色 128G【原配20W闪充+红包+退换无忧】,500+条评价,Apple嘉世优品专卖店
￥5999.00,Apple iPhone 13 mini (A2629) 256GB 午夜色 手机 支持移动联通电信5G 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,1万+条评价,Apple产品京东自营旗舰店
