('滟澜新宸东区，精装修小三居，全新未入住，诚心出售价格可谈', '3 室 2 厅 2 卫', '昌平')
('万通新新家园 必看房源 无遮挡 临水系 实景拍摄', '5 室 3 厅 5 卫', '沙河')
('熙园新出，大G户型，客厅大挑空，四卧朝南，看房随时', '5 室 3 厅 4 卫', '能源西路2号')
('上叠别墅 35层 法式建筑 私家庭院 独立电梯 环球影城南', '4 室 3 厅 3 卫', '顺义')
('（豪宅优推）北入户，南向大客厅 南卧室，看房随时！', '6 室 3 厅 4 卫', '天竺')
('首开琅越叠拼别墅，极简风格，所见即所得', '4 室 2 厅 3 卫', '天柱东路33号')
('万通天竺新新家园 二区豪装联排 临水系 位置好 采光棒', '5 室 3 厅 5 卫', '昌平')
('东五环亦庄 带装修大下叠边户10.4米大面宽 随时看房 入住', '4 室 3 厅 5 卫', '小汤山北')
('YYDS未来科学城富力首开价格有效', '5 室 4 厅 5 卫', '顺沙路,近秦上路')
('真实北区一手房中间户430平 不临街不临高层 菜地120平', '4 室 5 厅 5 卫', '通州')
('十一在京，随时可看）北京院子精装南合院，5居室4卧朝南户型好', '5 室 2 厅 7 卫', '台湖镇')
('嘉浩别墅 C户型 花园300平 挑高客厅 诚意出售', '5 室 2 厅 4 卫', '通房路')
('昌平区未来科学城 八仙南入户双拼别墅，集中供暖，业主', '4 室 3 厅 3 卫', '昌平')
('格拉斯四期S3独栋 南北无对视 紧邻水系 采光超好 双挑空', '5 室 3 厅 4 卫', '小汤山南')
('商品房满五，距离近，南北通透，带电梯房', '4 室 2 厅 2 卫', '立汤路9号')
('熙园大G户型，双厅设计，四卧朝南，房子位置好 看房随时', '5 室 3 厅 4 卫', '朝阳')
('北七家 2室2厅2卫 138平 （大两居）采光好顶层风景好', '2 室 2 厅 2 卫', '孙河')
('天恒乐墅上叠出售 企业力荐诚意出售', '4 室 2 厅 2 卫', '京平高速')
('新，有钥匙随时看，欢迎咨询，中海墅别墅，南北通透大园子', '5 室 3 厅 3 卫', '顺义')
('已实勘，实房实景 ，400平大院，畅销户型，买别墅，天恒独栋', '5 室 5 厅 3 卫', '天竺')
('复地湾流汇 4室2厅 312.56平 税费少 看房方便', '4 室 2 厅 3 卫', '天柱东路33号')
('（清退房源价格）十九号线 天悦壹号 现房别墅 私家电梯', '4 室 2 厅 2 卫', '通州')
('御汤山熙园纯独栋 小户型 绿地花园400平，餐厅挑空', '4 室 2 厅 4 卫', '次渠')
